,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,S Gill,38,32,1216,70,34.12,896,135.71,0,2,8,87,54,1
1,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
2,R Tripathi,47,41,1558,45,38.1,1107,140.74,0,1,4,85,44,1
3,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,1
4,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
5,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,0
6,C Varun,53,47,1786,59,39.93,1222,146.15,0,0,2,85,48,1
7,R Uthappa,42,37,1184,74,40.28,1036,114.29,0,7,9,99,51,0
8,B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9,0
9,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,0
10,S Samson,53,49,1764,67,37.57,1372,128.57,0,5,0,87,40,0
11,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,1
12,R Parag,39,35,1155,70,41.41,945,122.22,0,4,8,103,42,0
