,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,P Shaw,53,47,1692,68,35.5,1128,150.0,0,0,1,80,39,0
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
2,A Rahane,46,42,1512,62,23.78,1134,133.33,0,1,0,74,54,0
3,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,1
4,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
5,A Carey,25,13,125,37,13.88,101,123.76,0,0,0,10,4,0
6,B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9,1
7,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
8,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,0
9,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,1
10,R Uthappa,45,40,1360,70,29.91,1120,121.43,0,7,2,78,44,1
11,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
