,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Roy,32,32,743,78,23.21,512,145.11,0,4,4,75,35,0
1,W Saha,57,50,1650,64,34.71,1400,117.86,0,2,3,94,47,0
2,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,1
3,P Garg,35,29,1131,57,36.7,754,150,0,0,8,75,48,0
4,A Sharma,56,50,1650,42,32.53,1400,117.86,0,6,2,79,46,0
5,A Samad,36,31,1085,70,41.24,868,125,0,7,6,83,51,1
6,S Gill,52,45,1395,59,24.58,1125,124,0,7,5,74,54,1
7,V Iyer,39,32,1120,54,36.3,832,134.62,0,1,5,79,45,0
8,R Tripathi,33,27,1053,53,25.73,756,139.29,0,0,4,92,55,0
9,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
10,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,1
11,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,0
12,S Hasan,2,2,9,8,4.5,7,128.57,0,0,0,1,0,1
13,C Varun,40,33,1155,60,25.88,957,120.69,0,2,2,81,48,1
