,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Iyer,48,42,1302,45,41.83,1134,114.81,0,1,5,100,48,1
1,A Rahane,37,32,1216,72,30.9,832,146.15,0,1,1,85,55,1
2,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,1
3,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
4,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,1
5,R Singh,2,2,14,8,7,13,107.69,0,0,0,0,1,0
6,S Jackson,47,40,1240,74,37.67,1080,114.81,0,1,2,79,39,0
7,C Varun,52,46,1748,58,37.24,1196,146.15,0,5,8,97,50,1
8,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
9,I Kishan,54,48,1680,43,25.69,1152,145.83,0,1,9,78,50,1
10,T Varma,48,42,1428,58,34.9,966,147.83,0,5,1,91,41,0
11,R Singh,2,2,14,8,7,13,107.69,0,0,0,0,1,1
12,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,0
13,K Kartikeya,42,38,1406,62,33.68,874,160.87,0,4,3,96,52,1
