,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,1
1,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
2,R Patidar,53,49,1911,70,31.88,1225,156,0,1,8,78,40,1
3,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,0
4,M Lomror,45,41,1271,64,41.67,1025,124,0,7,8,81,52,0
5,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,1
6,P Silva,2,2,22,21,11,22,100,0,0,0,1,0,0
7,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
8,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,1
9,M Vohra,45,41,1599,67,27.45,984,162.5,0,2,6,98,39,1
10,D Hooda,37,33,1188,55,33.32,957,124.14,0,7,1,83,40,1
11,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
12,E Lewis,29,28,833,125,30.85,544,153.12,2,5,3,54,67,0
13,P Chameera,19,10,31,12,7.75,40,77.5,0,0,2,3,0,0
