,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,I Kishan,56,52,1872,62,36.95,1404,133.33,0,0,5,84,40,1
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
2,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,1
3,S Tiwary,40,36,1188,60,30.9,972,122.22,0,0,8,77,51,1
4,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,0
5,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,1
6,J Pattinson,34,30,1020,64,31.07,750,136.0,0,4,1,91,41,1
7,R Uthappa,45,40,1360,70,29.91,1120,121.43,0,7,2,78,44,1
8,B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9,1
9,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,0
10,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,1
11,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
12,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
