,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Roy,32,32,743,78,23.21,512,145.11,0,4,4,75,35,0
1,W Saha,40,33,1023,52,41.21,957,106.9,0,3,8,75,52,1
2,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,1
3,P Garg,57,51,1887,68,42.21,1377,137.04,0,2,4,96,42,0
4,A Sharma,43,37,1147,44,24.83,999,114.81,0,4,3,97,50,0
5,A Samad,38,31,1178,59,33.53,744,158.33,0,4,2,85,49,0
6,R Gaikwad,47,42,1386,44,23.68,1218,113.79,0,5,6,103,51,1
7,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,1
8,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,0
9,S Raina,78,66,1605,101,29.18,1190,134.87,1,5,3,145,58,0
10,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,0
11,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,1
12,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
