,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,P Shaw,53,47,1692,68,35.5,1128,150.0,0,0,1,80,39,1
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
2,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
3,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
4,C Ingram,49,42,1470,61,24.28,966,152.17,0,1,0,80,53,0
5,K Paul,18,12,142,29,20.28,123,115.44,0,0,0,8,8,0
6,I Sharma,34,28,924,66,38.58,700,132.0,0,1,0,92,40,0
7,A Mishra,37,32,1120,56,38.87,800,140.0,0,0,6,83,41,1
8,S Watson,40,35,1085,76,36.87,945,114.81,0,0,5,94,39,1
9,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,0
10,S Raina,78,66,1605,101,29.18,1190,134.87,1,5,3,145,58,1
11,K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3,1
12,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
13,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
14,H Singh,7,6,117,44,39.0,102,114.7,0,0,0,6,3,0
15,I Tahir,38,4,19,9,19.0,18,105.55,0,0,0,1,1,1
