,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Uthappa,45,40,1360,70,29.91,1120,121.43,0,7,2,78,44,1
1,B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9,1
2,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,1
3,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
4,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,1
5,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,1
6,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,0
7,J Bairstow,34,29,603,68,26.21,450,134.0,0,3,2,56,25,0
8,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,1
9,V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5,1
10,P Garg,57,51,1887,68,42.21,1377,137.04,0,2,4,96,42,0
11,A Samad,38,31,1178,59,33.53,744,158.33,0,4,2,85,49,0
