,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,P Patel,2,2,14,8,14,11,127.27,0,0,0,0,0,0
1,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
2,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,1
3,A Nath,42,35,1190,74,27.65,945,125.93,0,2,6,79,46,1
4,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
5,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,1
6,P Negi,33,27,999,53,38.97,675,148,0,6,4,97,47,0
7,D Steyn,44,10,16,5,3.2,23,69.56,0,0,1,1,0,1
8,S Watson,46,39,1443,42,24.42,1092,132.14,0,5,1,85,50,0
9,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
10,S Raina,78,66,1605,101,29.18,1190,134.87,1,5,3,145,58,0
11,A Rayudu,52,47,1598,59,40.35,1175,136,0,1,4,76,45,1
12,K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3,0
13,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,1
14,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
15,I Tahir,38,4,19,9,19,18,105.55,0,0,0,1,1,0
