,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,1
1,Y Jaiswal,53,48,1536,57,36.12,1152,133.33,0,5,3,97,48,0
2,D Padikkal,43,39,1365,43,40.18,975,140,0,7,6,88,45,1
3,S Samson,34,28,896,67,38.69,700,128,0,7,7,87,51,0
4,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,1
5,R Parag,47,40,1360,42,42.13,1000,136,0,5,6,86,55,0
6,M Krishna,53,46,1472,50,35.46,1196,123.08,0,3,4,87,50,0
7,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,1
8,A Rawat,43,38,1444,76,37.21,1026,140.74,0,4,7,74,43,0
9,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
10,S Rutherford,3,3,17,9,5.66,23,73.91,0,0,0,1,0,0
11,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,1
12,P Silva,2,2,22,21,11,22,100,0,0,0,1,0,0
