,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
1,P Singh,10,4,4,2,4,7,57.14,0,0,0,0,0,0
2,J Bairstow,34,29,603,68,26.21,450,134,0,3,2,56,25,0
3,L Livingstone,2,2,16,16,8,19,84.21,0,0,1,1,0,1
4,J Sharma,48,41,1312,74,40.25,1148,114.29,0,2,4,80,54,0
5,A Singh,39,33,1221,42,35.32,792,154.17,0,0,7,84,47,0
6,A Sharma,54,47,1551,71,39.19,1175,132,0,0,7,79,52,1
7,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,0
8,R Tripathi,53,49,1862,59,27.95,1225,152,0,2,3,96,47,1
9,A Markram,2,2,18,15,9,17,105.88,0,0,0,1,1,1
10,N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17,1
11,S Singh,1,1,0,0,0,9,0,0,0,1,0,0,0
