,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,M Wade,54,48,1776,62,34.66,1152,154.17,0,5,3,83,49,1
1,S Gill,43,39,1365,76,32.7,1014,134.62,0,3,6,84,46,0
2,B Sudharsan,34,29,1015,74,35.76,667,152.17,0,5,2,82,42,0
3,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,1
4,D Miller,72,62,1309,101,29.75,935,140,1,2,0,91,57,0
5,A Manohar,55,50,1900,50,37.6,1250,152,0,2,5,88,55,1
6,A Sharma,46,41,1271,56,23.86,1148,110.71,0,5,3,89,54,1
7,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,1
8,R Tripathi,54,47,1457,61,42,1222,119.23,0,5,3,90,41,1
9,N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17,1
10,A Markram,2,2,18,15,9,17,105.88,0,0,0,1,1,0
11,S Singh,1,1,0,0,0,9,0,0,0,1,0,0,0
