,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,1
2,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,0
3,S Tiwary,40,36,1188,60,30.9,972,122.22,0,0,8,77,51,1
4,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
5,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,0
6,J Pattinson,34,30,1020,64,31.07,750,136.0,0,4,1,91,41,1
7,M Vijay,45,39,1365,48,35.0,936,145.83,0,4,3,74,42,0
8,S Watson,40,35,1085,76,36.87,945,114.81,0,0,5,94,39,0
9,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,1
10,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,1
11,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
12,S Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2,1
13,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
14,K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3,0
15,P Chawla,49,44,1408,63,34.04,1012,139.13,0,4,6,74,48,1
