,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,1
1,M Agarwal,57,51,1989,72,36.81,1275,156,0,7,2,75,40,1
2,C Gayle,58,54,1627,117,32.54,1139,142.84,2,13,3,138,105,0
3,N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17,0
4,M Singh,8,6,83,36,13.83,98,84.69,0,0,0,10,1,0
5,D Hooda,41,34,1258,56,35.67,816,154.17,0,6,3,75,44,1
6,R Gaikwad,40,36,1368,50,41.13,828,165.22,0,0,2,95,50,1
7,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,1
8,A Rayudu,42,38,1178,51,41.74,988,119.23,0,5,8,89,49,1
9,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
10,N Jagadeesan,40,36,1332,50,23.77,900,148,0,6,0,101,41,0
11,S Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2,0
12,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
13,I Tahir,38,4,19,9,19,18,105.55,0,0,0,1,1,1
