,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
1,P Patel,2,2,14,8,14.0,11,127.27,0,0,0,0,0,1
2,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,1
3,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,1
4,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
5,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
6,C Grandhomme,33,31,479,59,19.95,321,149.22,0,3,3,27,29,0
7,S Watson,40,35,1085,76,36.87,945,114.81,0,0,5,94,39,0
8,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,1
9,S Raina,78,66,1605,101,29.18,1190,134.87,1,5,3,145,58,1
10,K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3,0
11,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
12,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
13,H Singh,7,6,117,44,39.0,102,114.7,0,0,0,6,3,1
14,I Tahir,38,4,19,9,19.0,18,105.55,0,0,0,1,1,1
