,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Iyer,47,41,1558,74,28.77,1107,140.74,0,0,1,94,55,1
1,S Gill,50,44,1364,57,37.71,1056,129.17,0,1,0,84,52,0
2,R Tripathi,50,43,1333,65,30.89,1247,106.9,0,0,6,95,52,1
3,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,1
4,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,0
5,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
6,T Seifert,19,18,316,84,18.58,228,138.59,0,1,2,22,21,0
7,C Varun,40,35,1365,54,37.18,840,162.5,0,3,1,87,46,1
8,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,1
9,M Agarwal,49,44,1364,63,42.35,1056,129.17,0,6,1,97,44,1
10,N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17,0
11,A Markram,2,2,18,15,9,17,105.88,0,0,0,1,1,0
12,D Hooda,44,37,1221,56,26.75,1073,113.79,0,4,5,77,55,0
13,F Allen,11,9,64,27,9.14,56,114.28,0,0,2,5,3,0
14,A Singh,43,39,1287,46,25.71,1131,113.79,0,5,7,82,46,1
