,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Bairstow,34,29,603,68,26.21,450,134,0,3,2,56,25,1
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
2,P Rajapaksa,5,5,131,77,32.75,95,137.89,0,1,0,7,9,1
3,M Agarwal,44,38,1406,66,26.33,1026,137.04,0,2,6,75,55,0
4,J Sharma,53,46,1426,42,37.38,1334,106.9,0,3,1,74,53,1
5,L Livingstone,2,2,16,16,8,19,84.21,0,0,1,1,0,1
6,R Dhawan,34,29,1131,70,36.8,725,156,0,3,0,77,44,0
7,A Singh,54,50,1600,64,34.85,1200,133.33,0,1,7,94,45,1
8,Y Jaiswal,51,45,1395,52,27.39,1080,129.17,0,7,8,97,53,1
9,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,1
10,S Samson,38,33,1155,76,27.13,825,140,0,7,5,77,41,0
11,D Padikkal,48,42,1428,64,34.52,1176,121.43,0,7,7,79,54,1
12,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,1
13,R Parag,40,36,1188,72,23.93,900,132,0,2,8,97,47,0
14,M Krishna,56,49,1862,63,25.34,1323,140.74,0,3,9,74,47,1
