,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,1
1,D Padikkal,36,31,1085,58,41.24,775,140,0,4,6,77,51,0
2,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,1
3,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,0
4,D Christian,16,7,27,9,6.75,28,96.42,0,0,1,2,0,0
5,K Jamieson,43,38,1482,48,34.75,874,169.57,0,1,8,95,51,1
6,W Saha,49,43,1333,59,30.82,989,134.78,0,5,7,76,42,1
7,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,1
8,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,1
9,J Bairstow,34,29,603,68,26.21,450,134,0,3,2,56,25,0
10,A Samad,51,47,1833,67,31.17,1269,144.44,0,6,5,78,52,0
11,V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5,0
