,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,0
1,C Gayle,58,54,1627,117,32.54,1139,142.84,2,13,3,138,105,1
2,M Agarwal,55,49,1568,69,36.49,1323,118.52,0,0,0,80,39,0
3,D Miller,72,62,1309,101,29.75,935,140,1,2,0,91,57,0
4,M Singh,8,6,83,36,13.83,98,84.69,0,0,0,10,1,1
5,S Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2,0
6,G Viljoen,46,40,1400,65,37.8,1080,129.63,0,6,1,99,40,1
7,P Shaw,46,42,1554,52,26.32,1176,132.14,0,3,7,79,52,1
8,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
9,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,1
10,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
11,C Ingram,47,42,1344,71,24.09,1008,133.33,0,7,4,103,40,0
12,S Rutherford,3,3,17,9,5.66,23,73.91,0,0,0,1,0,0
13,A Mishra,40,34,1292,43,37.32,782,165.22,0,6,0,97,48,0
14,I Sharma,34,28,1008,57,30.67,812,124.14,0,6,0,98,49,0
15,S Lamichhane,18,8,23,9,5.75,29,79.31,0,0,1,1,0,1
