,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Gaikwad,47,42,1386,44,23.68,1218,113.79,0,5,6,103,51,1
1,D Conway,54,48,1872,43,38.8,1104,169.57,0,6,0,80,52,0
2,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,1
3,N Jagadeesan,34,27,999,43,26.29,675,148.0,0,4,4,78,48,1
4,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
5,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
6,S Singh,18,17,169,57,11.26,144,117.36,0,1,5,12,6,0
7,M Pathirana,44,37,1295,56,31.39,999,129.63,0,4,4,82,42,1
8,W Saha,40,33,1023,52,41.21,957,106.9,0,3,8,75,52,1
9,S Gill,45,41,1435,46,40.26,984,145.83,0,1,5,79,47,1
10,M Wade,40,33,1122,74,30.36,858,130.77,0,0,2,83,42,1
11,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
12,D Miller,72,62,1309,101,29.75,935,140.0,1,2,0,91,57,1
