,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,1
1,M Agarwal,54,50,1600,57,30.88,1150,139.13,0,0,2,80,39,1
2,C Gayle,58,54,1627,117,32.54,1139,142.84,2,13,3,138,105,0
3,D Hooda,49,44,1628,48,32.64,1056,154.17,0,5,8,80,44,0
4,N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17,0
5,M Henriques,11,8,159,62,31.8,122,130.32,0,2,0,8,7,0
6,A Singh,42,37,1184,64,28.61,851,139.13,0,1,8,87,45,0
7,S Gill,38,34,1156,50,27.99,884,130.77,0,6,0,95,52,0
8,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
9,R Tripathi,42,35,1225,43,35.03,805,152.17,0,0,9,88,49,1
10,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,1
11,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,0
12,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
13,C Varun,53,49,1862,55,23.71,1274,146.15,0,1,2,74,46,1
14,M Krishna,51,45,1710,45,31.73,1305,131.03,0,0,8,93,47,1
