,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,1
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,1
2,S Yadav,40,34,1292,59,27.46,918,140.74,0,3,9,89,54,1
3,I Kishan,52,46,1472,71,27.88,1288,114.29,0,0,0,77,50,0
4,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
5,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,0
6,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,1
7,S Gill,35,28,896,52,31.83,812,110.34,0,0,9,94,47,1
8,R Tripathi,44,38,1254,45,39.36,874,143.48,0,3,0,96,50,0
9,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,0
10,S Hasan,2,2,9,8,4.5,7,128.57,0,0,0,1,0,1
11,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
12,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,1
13,H Singh,3,3,23,17,7.66,48,47.91,0,0,0,1,0,0
14,C Varun,46,39,1209,58,37.64,936,129.17,0,5,5,74,44,0
15,M Krishna,49,45,1665,45,27.41,1035,160.87,0,1,8,78,42,0
