,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,1
1,S Gill,40,33,1122,52,28.34,825,136,0,4,5,100,39,0
2,R Tripathi,52,45,1665,62,29.01,1215,137.04,0,4,9,88,55,1
3,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,0
4,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,0
5,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,1
6,S Hasan,2,2,9,8,4.5,7,128.57,0,0,0,1,0,1
7,H Singh,3,3,23,17,7.66,48,47.91,0,0,0,1,0,0
8,C Varun,36,30,1080,53,31.65,720,150,0,5,4,99,39,0
9,M Krishna,40,35,1085,42,42.14,1015,106.9,0,0,3,88,48,1
10,W Saha,57,53,2067,61,31.69,1219,169.57,0,6,1,76,51,0
11,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,0
12,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,1
13,J Bairstow,34,29,603,68,26.21,450,134,0,3,2,56,25,1
14,V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5,0
15,A Samad,39,33,1221,67,32.62,891,137.04,0,7,2,99,47,1
