,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
1,D Padikkal,39,34,1088,51,33.63,782,139.13,0,5,6,84,43,0
2,A Finch,58,58,1878,172,38.32,1200,156.5,2,11,4,182,90,1
3,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,1
4,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,0
5,S Dube,6,4,64,54,32,42,152.38,0,1,0,3,4,0
6,A Zampa,27,6,23,9,11.5,26,88.46,0,0,0,2,0,1
7,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,1
8,S Goswami,42,37,1147,59,34.35,962,119.23,0,0,2,90,51,0
9,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,1
10,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,1
11,P Garg,33,28,1092,72,23.62,728,150,0,3,2,82,47,0
12,A Samad,45,40,1560,56,42.29,920,169.57,0,6,3,92,40,0
