,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,E Lewis,29,28,833,125,30.85,544,153.12,2,5,3,54,67,1
1,Y Jaiswal,57,50,1550,61,25.8,1450,106.9,0,7,9,91,44,1
2,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
3,L Livingstone,2,2,16,16,8.0,19,84.21,0,0,1,1,0,1
4,M Lomror,40,35,1225,44,29.2,805,152.17,0,3,1,77,40,1
5,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
6,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
7,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,1
8,M Agarwal,34,27,999,70,29.82,783,127.59,0,7,9,78,48,1
9,A Markram,2,2,18,15,9.0,17,105.88,0,0,0,1,1,1
10,N Pooran,16,16,312,58,24.0,247,126.31,0,2,1,24,17,1
11,D Hooda,47,42,1344,67,33.09,966,139.13,0,3,6,78,51,0
12,F Allen,11,9,64,27,9.14,56,114.28,0,0,2,5,3,0
13,A Rashid,40,15,51,9,7.28,61,83.6,0,0,0,4,0,0
14,A Singh,46,39,1443,72,34.02,1131,127.59,0,5,9,98,43,1
