,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
1,S Gopal,46,41,123.0,4,861,27,31.89,7.0,27.0,3,0,0
2,C Sakariya,38,34,136.0,3,816,27,30.22,6.0,30.0,3,0,1
3,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
4,M Rahman,37,37,135.1,3,1065,52,20.48,7.87,15.5,1,1,1
5,J Neesham,18,16,37.4,0,323,13,24.84,8.57,17.3,0,0,1
6,N Coulter-Nile,28,27,97.0,1,802,34,23.58,8.26,17.1,1,0,1
7,J Yadav,57,54,216.0,1,1296,70,18.51,6.0,19.0,1,0,0
8,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18.0,0,0,1
9,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,0
