,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,K Pandya,18.0,18.0,66.2,1.0,538.0,14.0,38.42,8.11,28.4,1.0,0.0,0
1,R Chahar,1.0,1.0,3.0,0.0,27.0,1.0,27.0,9.0,18.0,0.0,0.0,1
2,A Joseph,53.0,50.0,200.0,0.0,1200.0,38.0,31.58,6.0,32.0,1.0,1.0,1
3,J Behrendorff,7.0,6.0,16.0,0.0,117.0,7.0,16.71,7.31,13.7,1.0,0.0,0
4,J Bumrah,42.0,42.0,153.1,5.0,1029.0,51.0,20.17,6.71,18.0,0.0,0.0,1
5,M Nabi,75.0,75.0,256.4,5.0,1839.0,69.0,26.65,7.16,22.3,3.0,0.0,1
6,R Khan,45.0,45.0,171.0,1.0,1052.0,84.0,12.52,6.15,12.2,3.0,2.0,0
7,B Kumar,43.0,43.0,154.2,2.0,1088.0,41.0,26.53,7.04,22.5,0.0,1.0,0
8,S Kaul,3.0,3.0,9.4,0.0,84.0,4.0,21.0,8.68,14.5,0.0,0.0,1
9,S Sharma,39.0,34.0,102.0,3.0,1632.0,24.0,68.0,16.0,26.0,1.0,1.0,1
