,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Ashwin,46.0,46.0,171.0,2.0,1193.0,52.0,22.94,6.97,19.7,2.0,0.0,0
1,N Saini,5.0,5.0,17.0,1.0,137.0,6.0,22.83,8.05,17.0,0.0,0.0,1
2,T Boult,27.0,27.0,98.5,1.0,854.0,39.0,21.89,8.64,15.2,1.0,0.0,0
3,Y Chahal,36.0,36.0,140.3,1.0,1139.0,52.0,21.9,8.1,16.2,2.0,1.0,1
4,T David,12.0,9.0,22.2,0.0,202.0,3.0,67.33,9.04,44.6,0.0,0.0,0
5,D Sams,59.0,56.0,168.0,1.0,1008.0,56.0,18.0,6.0,18.0,0.0,0.0,0
6,M Ashwin,59.0,55.0,165.0,0.0,2145.0,47.0,45.64,13.0,21.0,1.0,1.0,0
7,J Bumrah,42.0,42.0,153.1,5.0,1029.0,51.0,20.17,6.71,18.0,0.0,0.0,1
8,T Mills,5.0,5.0,19.0,1.0,129.0,3.0,43.0,6.78,38.0,0.0,0.0,1
9,B Thampi,61.0,58.0,174.0,0.0,2958.0,50.0,59.16,17.0,21.0,2.0,0.0,0
