,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,T David,12,9,22.2,0,202,3,67.33,9.04,44.6,0,0,1
1,D Sams,63,58,232.0,4,3944,71,55.55,17.0,20.0,3,0,0
2,M Ashwin,62,58,232.0,2,1624,61,26.62,7.0,23.0,3,0,1
3,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18.0,0,0,0
4,R Meredith,53,48,192.0,4,1728,49,35.27,9.0,24.0,2,0,0
5,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
6,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,1
7,P Sangwan,50,47,188.0,0,1692,50,33.84,9.0,23.0,1,0,1
8,L Ferguson,8,8,31.0,0,222,14,15.85,7.16,13.2,0,0,0
9,A Joseph,57,54,162.0,4,1134,57,19.89,7.0,17.0,2,1,0
10,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
