,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,T David,12,9,22.2,0,202,3,67.33,9.04,44.6,0,0,0
1,D Sams,63,58,232.0,4,3944,71,55.55,17.0,20.0,3,0,0
2,M Ashwin,62,58,232.0,2,1624,61,26.62,7.0,23.0,3,0,1
3,T Mills,5,5,19.0,1,129,3,43.0,6.78,38.0,0,0,0
4,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18.0,0,0,0
5,B Thampi,57,54,162.0,4,1134,67,16.93,7.0,15.0,3,1,1
6,L Yadav,57,54,216.0,3,3456,48,72.0,16.0,27.0,0,0,1
7,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,0
8,A Patel,11,11,39.0,0,265,9,29.44,6.79,26.0,0,0,1
9,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,1
10,K Ahmed,14,14,52.0,1,459,13,35.3,8.82,24.0,0,0,1
11,K Nagarkoti,53,48,144.0,3,2304,48,48.0,16.0,18.0,0,1,0
