,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Ashwin,46,46,171.0,2,1193,52,22.94,6.97,19.7,2,0,1
1,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,0
2,O McCoy,2,1,3.0,0,44,1,44.0,14.66,18.0,0,0,0
3,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,1
4,L Yadav,57,54,216.0,3,3456,48,72.0,16.0,27.0,0,0,1
5,A Patel,11,11,39.0,0,265,9,29.44,6.79,26.0,0,0,0
6,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,0
7,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
8,M Rahman,37,37,135.1,3,1065,52,20.48,7.87,15.5,1,1,0
9,K Ahmed,14,14,52.0,1,459,13,35.3,8.82,24.0,0,0,1
