,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,S Ahmed,5.0,4.0,10.0,0.0,83.0,5.0,16.6,8.3,12.0,0.0,0.0,1
1,M Siraj,3.0,3.0,12.0,0.0,148.0,3.0,49.33,12.33,24.0,0.0,0.0,1
2,H Patel,7.0,5.0,13.0,0.0,104.0,2.0,52.0,8.0,39.0,0.0,0.0,1
3,J Hazlewood,38.0,35.0,105.0,4.0,1470.0,43.0,34.19,14.0,15.0,1.0,1.0,1
4,L Yadav,45.0,40.0,120.0,1.0,1680.0,38.0,44.21,14.0,19.0,3.0,1.0,0
5,S Thakur,7.0,7.0,27.3,0.0,242.0,8.0,30.25,8.8,20.6,1.0,0.0,1
6,A Patel,2.0,2.0,6.0,0.0,45.0,1.0,45.0,7.5,36.0,0.0,0.0,1
7,K Yadav,19.0,19.0,71.3,1.0,499.0,37.0,13.48,6.97,11.5,1.0,1.0,0
8,M Rahman,16.0,16.0,60.0,0.0,324.0,20.0,16.2,5.4,18.0,1.0,0.0,0
9,K Ahmed,14.0,14.0,52.0,1.0,459.0,13.0,35.3,8.82,24.0,0.0,0.0,0
