,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,S Ahmed,5.0,4.0,10.0,0.0,83.0,5.0,16.6,8.3,12.0,0.0,0.0,1
1,H Patel,7.0,5.0,13.0,0.0,104.0,2.0,52.0,8.0,39.0,0.0,0.0,1
2,J Hazlewood,51.0,47.0,141.0,0.0,1692.0,58.0,29.17,12.0,15.0,0.0,0.0,0
3,M Siraj,3.0,3.0,12.0,0.0,148.0,3.0,49.33,12.33,24.0,0.0,0.0,0
4,R Tewatia,52.0,49.0,196.0,3.0,1960.0,44.0,44.55,10.0,27.0,3.0,1.0,1
5,R Khan,45.0,45.0,171.0,1.0,1052.0,84.0,12.52,6.15,12.2,3.0,2.0,0
6,P Sangwan,38.0,35.0,105.0,3.0,1260.0,33.0,38.18,12.0,19.0,2.0,1.0,0
7,A Joseph,40.0,37.0,148.0,3.0,1480.0,38.0,38.95,10.0,23.0,3.0,0.0,0
8,L Ferguson,8.0,8.0,31.0,0.0,222.0,14.0,15.85,7.16,13.2,0.0,0.0,0
9,M Shami,8.0,8.0,27.4,0.0,275.0,10.0,27.5,9.93,16.6,0.0,0.0,1
