,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,P Dubey,62,58,174.0,3,2958,47,62.94,17.0,22.0,1,1,0
1,A Patel,11,11,39.0,0,265,9,29.44,6.79,26.0,0,0,1
2,R Ashwin,46,46,171.0,2,1193,52,22.94,6.97,19.7,2,0,0
3,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,1
4,A Nortje,52,47,188.0,4,1316,63,20.89,7.0,18.0,1,1,0
5,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
6,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,1
7,S Nadeem,46,43,172.0,2,2236,37,60.43,13.0,28.0,3,0,0
8,S Sharma,54,49,196.0,2,2548,50,50.96,13.0,24.0,3,0,1
9,T Natarajan,53,49,147.0,0,1323,39,33.92,9.0,23.0,3,1,0
