,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Ashwin,46,46,171.0,2,1193,52,22.94,6.97,19.7,2,0,0
1,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,1
2,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,0
3,O McCoy,2,1,3.0,0,44,1,44.0,14.66,18.0,0,0,0
4,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
5,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,0
6,R Kishore,39,36,144.0,0,1440,25,57.6,10.0,35.0,0,0,1
7,A Joseph,57,54,162.0,4,1134,57,19.89,7.0,17.0,2,1,0
8,Y Dayal,43,40,160.0,3,1600,36,44.44,10.0,27.0,1,0,1
9,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,1
