,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,63.0,58.0,174.0,4.0,2436.0,75.0,32.48,14.0,14.0,3.0,0.0,0
1,J Archer,1.0,1.0,4.0,0.0,29.0,2.0,14.5,7.25,12.0,0.0,0.0,1
2,S Gopal,39.0,36.0,144.0,4.0,2160.0,36.0,60.0,15.0,24.0,0.0,0.0,0
3,A Rajpoot,61.0,57.0,171.0,2.0,1368.0,53.0,25.81,8.0,19.0,0.0,0.0,0
4,K Tyagi,61.0,56.0,224.0,2.0,1792.0,67.0,26.75,8.0,20.0,0.0,0.0,0
5,J Holder,17.0,17.0,62.1,0.0,524.0,13.0,40.3,8.42,28.6,0.0,0.0,1
6,R Khan,45.0,45.0,171.0,1.0,1052.0,84.0,12.52,6.15,12.2,3.0,2.0,1
7,S Sharma,41.0,37.0,148.0,1.0,2072.0,30.0,69.07,14.0,30.0,3.0,1.0,0
8,T Natarajan,60.0,56.0,224.0,2.0,2240.0,45.0,49.78,10.0,30.0,1.0,0.0,0
9,S Nadeem,55.0,52.0,208.0,0.0,2912.0,46.0,63.3,14.0,27.0,0.0,0.0,1
