,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,O Smith,2,2,7.0,0,78,2,39.0,11.14,21.0,0,0,0
1,M Khan,19,11,31.0,0,222,9,24.66,7.16,20.6,0,0,0
2,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,1
3,R Chahar,1,1,3.0,0,27,1,27.0,9.0,18.0,0,0,1
4,V Arora,63,60,240.0,0,3840,52,73.85,16.0,28.0,3,0,0
5,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
6,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,1
7,D Nalkande,41,36,144.0,1,1872,44,42.55,13.0,20.0,2,0,1
8,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,1
9,L Ferguson,8,8,31.0,0,222,14,15.85,7.16,13.2,0,0,0
