,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,L Yadav,43.0,38.0,114.0,4.0,1254.0,34.0,36.88,11.0,20.0,2.0,0.0,0
1,A Patel,2.0,2.0,6.0,0.0,45.0,1.0,45.0,7.5,36.0,0.0,0.0,1
2,R Ashwin,46.0,46.0,171.0,2.0,1193.0,52.0,22.94,6.97,19.7,2.0,0.0,1
3,K Rabada,21.0,21.0,77.2,0.0,648.0,28.0,23.14,8.37,16.5,0.0,0.0,0
4,A Nortje,63.0,60.0,180.0,4.0,2160.0,62.0,34.84,12.0,17.0,2.0,1.0,1
5,A Khan,30.0,30.0,99.2,2.0,692.0,34.0,20.35,6.96,17.5,0.0,0.0,0
6,R Tewatia,45.0,41.0,123.0,4.0,1107.0,36.0,30.75,9.0,20.0,0.0,0.0,1
7,K Tyagi,60.0,56.0,168.0,3.0,2856.0,42.0,68.0,17.0,24.0,1.0,1.0,0
8,C Sakariya,38.0,34.0,102.0,3.0,1734.0,44.0,39.41,17.0,14.0,1.0,0.0,1
9,M Rahman,16.0,16.0,60.0,0.0,324.0,20.0,16.2,5.4,18.0,1.0,0.0,1
