,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,J Holder,17.0,17.0,62.1,0.0,524.0,13.0,40.3,8.42,28.6,0.0,0.0,0
1,R Khan,45.0,45.0,171.0,1.0,1052.0,84.0,12.52,6.15,12.2,3.0,2.0,1
2,S Sharma,46.0,41.0,164.0,0.0,1640.0,40.0,41.0,10.0,25.0,3.0,1.0,1
3,T Natarajan,55.0,51.0,204.0,3.0,3060.0,59.0,51.86,15.0,21.0,1.0,0.0,1
4,S Nadeem,51.0,48.0,144.0,3.0,1152.0,36.0,32.0,8.0,24.0,1.0,1.0,0
5,A Patel,2.0,2.0,6.0,0.0,45.0,1.0,45.0,7.5,36.0,0.0,0.0,0
6,K Rabada,21.0,21.0,77.2,0.0,648.0,28.0,23.14,8.37,16.5,0.0,0.0,0
7,R Ashwin,46.0,46.0,171.0,2.0,1193.0,52.0,22.94,6.97,19.7,2.0,0.0,1
8,T Deshpande,40.0,35.0,140.0,4.0,1960.0,22.0,89.09,14.0,38.0,1.0,1.0,0
9,A Nortje,39.0,35.0,140.0,4.0,1680.0,38.0,44.21,12.0,22.0,3.0,0.0,1
