,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,S Narine,51,49,183.4,1,1105,52,21.25,6.01,21.1,1,0,1
1,P Cummins,25,25,95.0,3,644,32,20.12,6.77,17.8,0,0,0
2,K Nagarkoti,53,48,144.0,3,2304,48,48.0,16.0,18.0,0,1,1
3,S Mavi,44,39,156.0,4,1872,38,49.26,12.0,25.0,1,0,1
4,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
5,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
6,S Gopal,46,41,123.0,4,861,27,31.89,7.0,27.0,3,0,0
7,J Archer,1,1,4.0,0,29,2,14.5,7.25,12.0,0,0,1
8,J Unadkat,10,10,34.4,0,301,14,21.5,8.68,14.8,0,0,1
9,A Rajpoot,59,56,224.0,0,1344,58,23.17,6.0,23.0,0,1,0
