,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,H Shokeen,47.0,42.0,126.0,3.0,756.0,39.0,19.38,6.0,19.0,3.0,0.0,1
1,D Sams,49.0,44.0,176.0,4.0,1056.0,49.0,21.55,6.0,22.0,2.0,1.0,1
2,J Unadkat,10.0,10.0,34.4,0.0,301.0,14.0,21.5,8.68,14.8,0.0,0.0,1
3,R Meredith,45.0,40.0,160.0,3.0,2080.0,35.0,59.43,13.0,27.0,0.0,0.0,0
4,J Bumrah,42.0,42.0,153.1,5.0,1029.0,51.0,20.17,6.71,18.0,0.0,0.0,0
5,M Santner,39.0,38.0,128.5,1.0,928.0,49.0,18.93,7.2,15.7,1.0,0.0,1
6,D Pretorius,6.0,6.0,14.0,0.0,116.0,3.0,38.66,8.28,28.0,0.0,0.0,0
7,D Bravo,40.0,37.0,148.0,3.0,1184.0,29.0,40.83,8.0,31.0,0.0,1.0,1
8,M Choudhary,44.0,41.0,164.0,0.0,1968.0,41.0,48.0,12.0,24.0,3.0,1.0,1
9,M Theekshana,53.0,49.0,196.0,3.0,2352.0,36.0,65.33,12.0,33.0,1.0,1.0,0
