,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,W Sundar,18.0,18.0,63.0,1.0,417.0,15.0,27.8,6.61,25.2,0.0,0.0,0
1,B Kumar,43.0,43.0,154.2,2.0,1088.0,41.0,26.53,7.04,22.5,0.0,1.0,1
2,U Malik,40.0,36.0,108.0,1.0,1620.0,33.0,49.09,15.0,20.0,2.0,1.0,1
3,T Natarajan,38.0,35.0,105.0,3.0,1050.0,22.0,47.73,10.0,29.0,3.0,1.0,0
4,F Farooqi,50.0,47.0,188.0,2.0,2444.0,45.0,54.31,13.0,25.0,1.0,0.0,0
5,D Sams,41.0,36.0,144.0,2.0,1584.0,43.0,36.84,11.0,20.0,0.0,1.0,1
6,T David,12.0,9.0,22.2,0.0,202.0,3.0,67.33,9.04,44.6,0.0,0.0,0
7,J Bumrah,42.0,42.0,153.1,5.0,1029.0,51.0,20.17,6.71,18.0,0.0,0.0,1
8,M Markande,48.0,44.0,132.0,1.0,1452.0,30.0,48.4,11.0,26.0,1.0,0.0,0
9,R Meredith,56.0,53.0,159.0,1.0,1908.0,43.0,44.37,12.0,22.0,3.0,0.0,0
