,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,W Sundar,18.0,18.0,63.0,1.0,417.0,15.0,27.8,6.61,25.2,0.0,0.0,1
1,R Shepherd,59.0,56.0,168.0,1.0,1344.0,70.0,19.2,8.0,14.0,0.0,1.0,1
2,J Suchith,41.0,36.0,108.0,1.0,1620.0,42.0,38.57,15.0,15.0,3.0,1.0,1
3,B Kumar,43.0,43.0,154.2,2.0,1088.0,41.0,26.53,7.04,22.5,0.0,1.0,0
4,U Malik,56.0,52.0,208.0,0.0,3120.0,46.0,67.83,15.0,27.0,2.0,1.0,0
5,F Farooqi,57.0,54.0,162.0,1.0,2268.0,48.0,47.25,14.0,20.0,1.0,0.0,1
6,M Khan,19.0,11.0,31.0,0.0,222.0,9.0,24.66,7.16,20.6,0.0,0.0,1
7,H Brar,42.0,38.0,114.0,2.0,1710.0,28.0,61.07,15.0,24.0,2.0,1.0,1
8,K Rabada,21.0,21.0,77.2,0.0,648.0,28.0,23.14,8.37,16.5,0.0,0.0,0
9,N Ellis,49.0,44.0,132.0,2.0,1980.0,63.0,31.43,15.0,13.0,3.0,1.0,1
