,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
1,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,1
2,L Ferguson,8,8,31.0,0,222,14,15.85,7.16,13.2,0,0,0
3,A Joseph,57,54,162.0,4,1134,57,19.89,7.0,17.0,2,1,0
4,Y Dayal,43,40,160.0,3,1600,36,44.44,10.0,27.0,1,0,1
5,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,1
6,S Narine,51,49,183.4,1,1105,52,21.25,6.01,21.1,1,0,0
7,S Mavi,44,39,156.0,4,1872,38,49.26,12.0,25.0,1,0,0
8,U Yadav,7,7,25.0,0,219,9,24.33,8.76,16.6,0,0,1
9,T Southee,66,64,233.3,2,1954,75,26.05,8.36,18.6,0,1,1
