,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,J Neesham,18,16,37.4,0,323,13,24.84,8.57,17.3,0,0,1
1,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,0
2,N Coulter-Nile,28,27,97.0,1,802,34,23.58,8.26,17.1,1,0,1
3,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18.0,0,0,1
4,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,0
5,M Nabi,75,75,256.4,5,1839,69,26.65,7.16,22.3,3,0,1
6,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,1
7,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,1
8,S Kaul,3,3,9.4,0,84,4,21.0,8.68,14.5,0,0,0
9,U Malik,63,60,240.0,0,2400,78,30.77,10.0,18.0,0,1,0
