,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,57.0,54.0,216.0,3.0,1944.0,73.0,26.63,9.0,18.0,2.0,0.0,0
1,R Khan,45.0,45.0,171.0,1.0,1052.0,84.0,12.52,6.15,12.2,3.0,2.0,1
2,R Kishore,43.0,40.0,160.0,4.0,1120.0,27.0,41.48,7.0,36.0,1.0,1.0,1
3,A Joseph,58.0,53.0,212.0,4.0,1272.0,67.0,18.99,6.0,19.0,1.0,1.0,0
4,Y Dayal,54.0,50.0,150.0,0.0,2550.0,57.0,44.74,17.0,16.0,2.0,0.0,1
5,M Shami,8.0,8.0,27.4,0.0,275.0,10.0,27.5,9.93,16.6,0.0,0.0,1
6,K Sharma,60.0,56.0,168.0,3.0,2688.0,65.0,41.35,16.0,16.0,3.0,0.0,0
7,K Pandya,18.0,18.0,66.2,1.0,538.0,14.0,38.42,8.11,28.4,1.0,0.0,0
8,J Holder,17.0,17.0,62.1,0.0,524.0,13.0,40.3,8.42,28.6,0.0,0.0,0
9,M Khan,19.0,11.0,31.0,0.0,222.0,9.0,24.66,7.16,20.6,0.0,0.0,1
10,A Khan,30.0,30.0,99.2,2.0,692.0,34.0,20.35,6.96,17.5,0.0,0.0,1
