,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,A Patel,11,11,39.0,0,265,9,29.44,6.79,26.0,0,0,1
1,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,1
2,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
3,A Nortje,52,47,188.0,4,1316,63,20.89,7.0,18.0,1,1,1
4,K Ahmed,14,14,52.0,1,459,13,35.3,8.82,24.0,0,0,0
5,T David,12,9,22.2,0,202,3,67.33,9.04,44.6,0,0,1
6,D Sams,63,58,232.0,4,3944,71,55.55,17.0,20.0,3,0,0
7,H Shokeen,56,51,153.0,1,1377,45,30.6,9.0,20.0,2,0,0
8,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18.0,0,0,1
9,M Markande,46,41,123.0,3,1107,47,23.55,9.0,16.0,0,1,0
10,R Meredith,53,48,192.0,4,1728,49,35.27,9.0,24.0,2,0,0
