,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,W Sundar,18.0,18.0,63.0,1.0,417.0,15.0,27.8,6.61,25.2,0.0,0.0,0
1,M Jansen,58.0,53.0,159.0,0.0,1113.0,68.0,16.37,7.0,14.0,0.0,0.0,0
2,B Kumar,43.0,43.0,154.2,2.0,1088.0,41.0,26.53,7.04,22.5,0.0,1.0,0
3,T Natarajan,39.0,36.0,144.0,1.0,864.0,24.0,36.0,6.0,36.0,3.0,0.0,0
4,U Malik,47.0,44.0,176.0,0.0,2816.0,45.0,62.58,16.0,23.0,2.0,1.0,1
5,R Tewatia,48.0,44.0,176.0,1.0,1408.0,41.0,34.34,8.0,26.0,1.0,1.0,1
6,R Khan,45.0,45.0,171.0,1.0,1052.0,84.0,12.52,6.15,12.2,3.0,2.0,1
7,L Ferguson,8.0,8.0,31.0,0.0,222.0,14.0,15.85,7.16,13.2,0.0,0.0,0
8,A Joseph,59.0,55.0,220.0,0.0,3520.0,70.0,50.29,16.0,19.0,3.0,0.0,1
9,Y Dayal,50.0,46.0,138.0,1.0,1518.0,45.0,33.73,11.0,18.0,0.0,1.0,0
10,M Shami,8.0,8.0,27.4,0.0,275.0,10.0,27.5,9.93,16.6,0.0,0.0,1
