,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
1,J Unadkat,10,10,34.4,0,301,14,21.5,8.68,14.8,0,0,0
2,C Sakariya,38,34,136.0,3,816,27,30.22,6.0,30.0,3,0,0
3,M Rahman,37,37,135.1,3,1065,52,20.48,7.87,15.5,1,1,0
4,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,1
5,N Coulter-Nile,28,27,97.0,1,802,34,23.58,8.26,17.1,1,0,0
6,J Yadav,57,54,216.0,1,1296,70,18.51,6.0,19.0,1,0,0
7,R Chahar,1,1,3.0,0,27,1,27.0,9.0,18.0,0,0,1
8,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18.0,0,0,1
9,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,1
