,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,D Willey,28.0,28.0,92.5,0.0,761.0,34.0,22.38,8.19,16.3,1.0,0.0,0
1,S Ahmed,5.0,4.0,10.0,0.0,83.0,5.0,16.6,8.3,12.0,0.0,0.0,0
2,H Patel,7.0,5.0,13.0,0.0,104.0,2.0,52.0,8.0,39.0,0.0,0.0,0
3,M Siraj,3.0,3.0,12.0,0.0,148.0,3.0,49.33,12.33,24.0,0.0,0.0,1
4,A Deep,54.0,50.0,200.0,1.0,1200.0,58.0,20.69,6.0,21.0,3.0,1.0,0
5,R Bawa,49.0,45.0,135.0,4.0,810.0,59.0,13.73,6.0,14.0,3.0,1.0,0
6,M Khan,19.0,11.0,31.0,0.0,222.0,9.0,24.66,7.16,20.6,0.0,0.0,0
7,O Smith,2.0,2.0,7.0,0.0,78.0,2.0,39.0,11.14,21.0,0.0,0.0,1
8,H Brar,55.0,51.0,204.0,1.0,2244.0,66.0,34.0,11.0,19.0,3.0,1.0,0
9,S Sharma,60.0,55.0,220.0,4.0,3080.0,45.0,68.44,14.0,29.0,0.0,1.0,0
10,R Chahar,1.0,1.0,3.0,0.0,27.0,1.0,27.0,9.0,18.0,0.0,0.0,1
