,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,K Pandya,18.0,18.0,66.2,1.0,538.0,14.0,38.42,8.11,28.4,1.0,0.0,0
1,J Holder,17.0,17.0,62.1,0.0,524.0,13.0,40.3,8.42,28.6,0.0,0.0,0
2,M Khan,19.0,11.0,31.0,0.0,222.0,9.0,24.66,7.16,20.6,0.0,0.0,1
3,K Gowtham,50.0,47.0,141.0,2.0,1833.0,51.0,35.94,13.0,17.0,3.0,0.0,1
4,R Bishnoi,40.0,37.0,148.0,2.0,888.0,39.0,22.77,6.0,23.0,1.0,0.0,1
5,L Yadav,52.0,49.0,147.0,1.0,1911.0,48.0,39.81,13.0,18.0,0.0,0.0,0
6,A Patel,2.0,2.0,6.0,0.0,45.0,1.0,45.0,7.5,36.0,0.0,0.0,1
7,S Thakur,7.0,7.0,27.3,0.0,242.0,8.0,30.25,8.8,20.6,1.0,0.0,1
8,K Yadav,19.0,19.0,71.3,1.0,499.0,37.0,13.48,6.97,11.5,1.0,1.0,0
9,M Rahman,16.0,16.0,60.0,0.0,324.0,20.0,16.2,5.4,18.0,1.0,0.0,0
10,C Sakariya,61.0,56.0,224.0,3.0,2016.0,73.0,27.62,9.0,18.0,0.0,0.0,0
