,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,L Yadav,40.0,35.0,105.0,0.0,945.0,22.0,42.95,9.0,29.0,0.0,0.0,0
1,S Thakur,7.0,7.0,27.3,0.0,242.0,8.0,30.25,8.8,20.6,1.0,0.0,1
2,K Yadav,19.0,19.0,71.3,1.0,499.0,37.0,13.48,6.97,11.5,1.0,1.0,1
3,A Nortje,37.0,34.0,102.0,3.0,918.0,22.0,41.73,9.0,28.0,1.0,1.0,0
4,K Ahmed,14.0,14.0,52.0,1.0,459.0,13.0,35.3,8.82,24.0,0.0,0.0,1
5,S Abbott,4.0,4.0,10.0,0.0,61.0,3.0,20.33,6.1,20.0,0.0,0.0,0
6,S Gopal,58.0,55.0,165.0,1.0,1650.0,43.0,38.37,10.0,23.0,3.0,0.0,1
7,K Tyagi,61.0,56.0,224.0,2.0,1344.0,45.0,29.87,6.0,30.0,1.0,1.0,0
8,B Kumar,43.0,43.0,154.2,2.0,1088.0,41.0,26.53,7.04,22.5,0.0,1.0,1
9,U Malik,50.0,46.0,138.0,2.0,2208.0,57.0,38.74,16.0,15.0,2.0,1.0,0
