,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Khan,19,11,31.0,0,222,9,24.66,7.16,20.6,0,0,0
1,O Smith,2,2,7.0,0,78,2,39.0,11.14,21.0,0,0,1
2,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,1
3,R Chahar,1,1,3.0,0,27,1,27.0,9.0,18.0,0,0,0
4,V Arora,63,60,240.0,0,3840,52,73.85,16.0,28.0,3,0,0
5,J Unadkat,10,10,34.4,0,301,14,21.5,8.68,14.8,0,0,1
6,M Ashwin,62,58,232.0,2,1624,61,26.62,7.0,23.0,3,0,0
7,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18.0,0,0,0
8,T Mills,5,5,19.0,1,129,3,43.0,6.78,38.0,0,0,0
9,B Thampi,57,54,162.0,4,1134,67,16.93,7.0,15.0,3,1,1
