,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Ashwin,46.0,46.0,171.0,2.0,1193.0,52.0,22.94,6.97,19.7,2.0,0.0,1
1,T Boult,27.0,27.0,98.5,1.0,854.0,39.0,21.89,8.64,15.2,1.0,0.0,1
2,Y Chahal,36.0,36.0,140.3,1.0,1139.0,52.0,21.9,8.1,16.2,2.0,1.0,1
3,K Sen,62.0,57.0,228.0,1.0,2052.0,71.0,28.9,9.0,19.0,2.0,0.0,0
4,L Yadav,44.0,41.0,164.0,4.0,1804.0,50.0,36.08,11.0,20.0,1.0,0.0,0
5,A Patel,2.0,2.0,6.0,0.0,45.0,1.0,45.0,7.5,36.0,0.0,0.0,0
6,S Thakur,7.0,7.0,27.3,0.0,242.0,8.0,30.25,8.8,20.6,1.0,0.0,1
7,K Yadav,19.0,19.0,71.3,1.0,499.0,37.0,13.48,6.97,11.5,1.0,1.0,0
8,A Nortje,48.0,44.0,132.0,4.0,2112.0,35.0,60.34,16.0,23.0,0.0,1.0,1
9,C Sakariya,38.0,35.0,105.0,0.0,735.0,31.0,23.71,7.0,20.0,1.0,1.0,1
