,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,A Patel,11,11,39.0,0,265,9,29.44,6.79,26.0,0,0,1
1,R Ashwin,46,46,171.0,2,1193,52,22.94,6.97,19.7,2,0,0
2,T Deshpande,42,37,148.0,3,1924,26,74.0,13.0,34.0,1,1,1
3,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
4,A Nortje,52,47,188.0,4,1316,63,20.89,7.0,18.0,1,1,1
5,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
6,J Archer,1,1,4.0,0,29,2,14.5,7.25,12.0,0,0,1
7,S Gopal,46,41,123.0,4,861,27,31.89,7.0,27.0,3,0,0
8,J Unadkat,10,10,34.4,0,301,14,21.5,8.68,14.8,0,0,1
9,K Tyagi,55,51,204.0,4,2244,40,56.1,11.0,31.0,2,1,1
