,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Khan,19.0,11.0,31.0,0.0,222.0,9.0,24.66,7.16,20.6,0.0,0.0,0
1,C Jordan,43.0,43.0,151.3,0.0,1300.0,54.0,24.07,8.58,16.8,2.0,0.0,0
2,H Brar,56.0,53.0,212.0,2.0,2332.0,63.0,37.02,11.0,20.0,0.0,1.0,1
3,R Meredith,61.0,57.0,228.0,3.0,3876.0,57.0,68.0,17.0,24.0,1.0,0.0,1
4,R Bishnoi,57.0,52.0,156.0,4.0,2340.0,63.0,37.14,15.0,15.0,1.0,0.0,0
5,M Shami,8.0,8.0,27.4,0.0,275.0,10.0,27.5,9.93,16.6,0.0,0.0,0
6,A Patel,2.0,2.0,6.0,0.0,45.0,1.0,45.0,7.5,36.0,0.0,0.0,1
7,L Yadav,38.0,34.0,102.0,1.0,612.0,50.0,12.24,6.0,12.0,2.0,1.0,0
8,K Rabada,21.0,21.0,77.2,0.0,648.0,28.0,23.14,8.37,16.5,0.0,0.0,1
9,A Khan,30.0,30.0,99.2,2.0,692.0,34.0,20.35,6.96,17.5,0.0,0.0,0
