,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Khan,19.0,11.0,31.0,0.0,222.0,9.0,24.66,7.16,20.6,0.0,0.0,1
1,O Smith,2.0,2.0,7.0,0.0,78.0,2.0,39.0,11.14,21.0,0.0,0.0,0
2,K Rabada,21.0,21.0,77.2,0.0,648.0,28.0,23.14,8.37,16.5,0.0,0.0,1
3,R Chahar,1.0,1.0,3.0,0.0,27.0,1.0,27.0,9.0,18.0,0.0,0.0,1
4,V Arora,55.0,51.0,204.0,3.0,2040.0,59.0,34.58,10.0,21.0,0.0,1.0,0
5,J Suchith,51.0,46.0,184.0,2.0,1472.0,46.0,32.0,8.0,24.0,2.0,0.0,1
6,B Kumar,43.0,43.0,154.2,2.0,1088.0,41.0,26.53,7.04,22.5,0.0,1.0,1
7,M Jansen,40.0,36.0,144.0,1.0,864.0,28.0,30.86,6.0,31.0,2.0,1.0,0
8,T Natarajan,38.0,34.0,136.0,4.0,1496.0,48.0,31.17,11.0,17.0,0.0,1.0,0
9,U Malik,61.0,56.0,168.0,3.0,1848.0,57.0,32.42,11.0,18.0,1.0,1.0,1
