,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,L Yadav,59.0,54.0,162.0,3.0,1782.0,50.0,35.64,11.0,19.0,3.0,1.0,1
1,A Patel,2.0,2.0,6.0,0.0,45.0,1.0,45.0,7.5,36.0,0.0,0.0,0
2,S Thakur,7.0,7.0,27.3,0.0,242.0,8.0,30.25,8.8,20.6,1.0,0.0,1
3,K Yadav,19.0,19.0,71.3,1.0,499.0,37.0,13.48,6.97,11.5,1.0,1.0,1
4,M Rahman,16.0,16.0,60.0,0.0,324.0,20.0,16.2,5.4,18.0,1.0,0.0,0
5,A Nortje,42.0,37.0,111.0,2.0,777.0,42.0,18.5,7.0,16.0,1.0,1.0,0
6,K Pandya,18.0,18.0,66.2,1.0,538.0,14.0,38.42,8.11,28.4,1.0,0.0,0
7,K Gowtham,47.0,42.0,168.0,1.0,1848.0,57.0,32.42,11.0,18.0,1.0,1.0,1
8,J Holder,17.0,17.0,62.1,0.0,524.0,13.0,40.3,8.42,28.6,0.0,0.0,0
9,A Khan,30.0,30.0,99.2,2.0,692.0,34.0,20.35,6.96,17.5,0.0,0.0,0
10,R Bishnoi,42.0,39.0,156.0,3.0,1248.0,43.0,29.02,8.0,22.0,3.0,0.0,1
