,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Khan,19.0,11.0,31.0,0.0,222.0,9.0,24.66,7.16,20.6,0.0,0.0,0
1,H Brar,44.0,40.0,160.0,1.0,960.0,56.0,17.14,6.0,17.0,0.0,0.0,1
2,R Meredith,49.0,46.0,138.0,0.0,1932.0,49.0,39.43,14.0,17.0,1.0,0.0,1
3,R Bishnoi,46.0,42.0,168.0,0.0,1344.0,54.0,24.89,8.0,19.0,1.0,1.0,1
4,M Shami,8.0,8.0,27.4,0.0,275.0,10.0,27.5,9.93,16.6,0.0,0.0,0
5,C Jordan,43.0,43.0,151.3,0.0,1300.0,54.0,24.07,8.58,16.8,2.0,0.0,0
6,S Ahmed,5.0,4.0,10.0,0.0,83.0,5.0,16.6,8.3,12.0,0.0,0.0,1
7,D Sams,37.0,33.0,132.0,4.0,1848.0,22.0,84.0,14.0,36.0,1.0,0.0,0
8,H Patel,7.0,5.0,13.0,0.0,104.0,2.0,52.0,8.0,39.0,0.0,0.0,1
9,M Siraj,3.0,3.0,12.0,0.0,148.0,3.0,49.33,12.33,24.0,0.0,0.0,0
10,Y Chahal,36.0,36.0,140.3,1.0,1139.0,52.0,21.9,8.1,16.2,2.0,1.0,1
